,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 16:48,7.03125,0,0,1.53846145,2.14242935,47,45,48,48,55,1201.37134,1201.37134,1201.37134,1201.37134,5.70207739,1.1838516,1.24868453,0,,100.114273,50.2905235,7.89502335,7.8038063,42,27.403
05-03-2024 16:48,7.03125,1.5625,0,0.78125,2.34375,47,45,48,48,55,1201.37085,1201.37085,1201.37085,1201.37085,5.744064,1.1248976,1.26600826,0,,100.114235,50.2864647,7.89438629,7.80444336,42,27.403
05-03-2024 16:48,6.92307949,0,0,0,1.73076987,49,45,47,48,56,1101.25684,1101.25684,1201.37109,1201.37109,5.54496956,1.07021332,1.243505,0,,100.114258,50.28129,7.89357376,7.805256,42,27.403
05-03-2024 16:48,7.69230747,0,0,1.58730149,2.31990218,49,45,47,49,56,1201.37085,1101.25659,1201.37085,1201.37085,5.73697424,1.10593438,1.26287878,0,,100.114235,50.2355576,7.8863945,7.812435,43,27.4030151
05-03-2024 16:48,8.4615345,1.56288147,0,1.53846145,2.890718,49,46,48,47,56,1101.25671,1201.371,1101.25671,1201.371,5.825243,1.1458776,1.28215289,0,,100.114243,50.22547,7.8848114,7.81401825,43,27.4030151
05-03-2024 16:48,10.0000019,1.49253607,0,1.53846145,3.25775146,48,48,48,49,57,1201.37134,1201.37134,1201.37134,1201.37134,5.71685266,1.10931039,1.22788024,0,,100.114273,50.20523,7.88163376,7.817196,43,27.4030151
05-03-2024 16:49,6.92307949,3.03099751,0,0,2.48851776,49,48,48,49,55,1201.3717,1101.25732,1201.3717,1201.3717,5.844968,1.15307784,1.28661108,0,,100.114311,50.202755,7.88124466,7.817585,43,27.4030151
05-03-2024 16:49,10.76923,1.53846145,0,1.5625,3.467548,49,47,50,49,56,1201.37061,1201.37061,1201.37061,1201.37061,5.622901,1.12048125,1.24733043,0,,100.114212,50.2043839,7.88150024,7.81732941,43,27.4030151
05-03-2024 16:49,12.28438,3.74331474,0,0,4.00692225,50,48,48,51,56,1201.37036,1201.37036,1201.37036,1201.37036,5.83119631,1.16498888,1.245489,0,,100.1142,50.13892,7.87122345,7.827606,43,27.4030151
05-03-2024 16:49,10.9375,1.5504837,0,0,3.121996,49,47,49,49,57,1201.37073,1201.37073,1201.37073,1201.37073,5.75543928,1.14225924,1.24899924,0,,100.114235,50.17175,7.876377,7.82245255,44,27.40303
05-03-2024 16:49,10.0000019,1.53846145,0,0.7692337,3.076923,50,48,49,51,57,1201.371,1201.371,1201.371,1201.371,5.8770895,1.22843158,1.23788333,0,,100.11425,50.2234573,7.884495,7.814335,44,27.40303
05-03-2024 16:49,9.375,0,0,0,2.34375,50,48,50,51,56,1201.37134,1201.37134,1201.37134,1201.37134,5.847903,1.18785429,1.23274362,0,,100.114273,50.22059,7.88404465,7.814785,44,27.40303
05-03-2024 16:50,16.40625,3.125,0,0.7692337,5.075121,51,50,50,51,57,1201.37036,1201.37036,1201.37036,1201.37036,6.989268,1.961851,1.27558351,0,,100.1142,50.2514725,7.888893,7.80993652,44,27.403038
05-03-2024 16:50,17.6923027,3.125,1.56288147,1.58730149,5.99187,50,48,49,51,57,1201.37012,1201.37012,1201.37012,1201.37012,5.13965225,2.2638464,0.018772129,0,,100.114174,46.5368729,7.305744,8.39308548,44,27.403038
,,,,,,,,,,,,,,,,,,,,,,,,,
Test 3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2024 16:52,9.375,0.7692337,0,0.7692337,2.72836685,41,40,42,44,49,1101.25684,1201.37109,1101.25684,1101.25684,3.33378363,1.17906094,0.03382924,0,4.54667381,100.114258,47.824585,7.5079,8.190929,42,27.4034271
05-03-2024 16:53,6.153846,0,0,1.5625,1.92908645,45,42,45,45,51,1101.25671,1101.25671,1201.371,1201.371,5.70543671,1.12141132,1.22288859,0,8.04973662,100.114243,50.8643227,7.98510361,7.713726,42,27.4034271
05-03-2024 16:53,6.92307949,0,0,0.78125,1.92608237,46,45,46,48,53,1201.37085,1201.37085,1201.37085,1201.37085,5.727168,1.13978362,1.23793459,0,8.10488621,100.114235,50.8713226,7.98620224,7.71262741,42,27.4034271
