,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:23,0,0,3.90625,0.78125,1.171875,52,49,51,54,59,1301.48572,1201.37146,1301.48572,1601.82861,6.0867734,1.58560228,1.1722194,0,,,100.114288,53.99001,8.4758,7.22303,49,27.4189148
05-03-2024 01:23,1.5504837,0.793647766,6.10795,1.51515007,2.491808,59,67,62,66,67,3303.77271,4104.687,4104.687,4104.687,8.45999,3.87678552,1.1084671,0,,,100.114319,49.7382965,7.80833054,7.890499,49,27.4189148
05-03-2024 01:29,1.5625,0,0,0.78125,0.5859375,43,41,43,44,50,1201.37146,1201.37146,1201.37146,1201.37146,3.092286,0.9622941,0.043068565,0,4.097648665,100.114288,48.6078949,7.630871,8.067959,45,27.4193726,
05-03-2024 01:30,0,0,3.8461566,0.7692337,1.15384459,49,46,50,49,55,2202.51514,1701.94348,1501.71484,1401.60059,6.666072,1.98407912,1.18875992,0,9.83891104,100.114326,54.4620247,8.5499,7.1489296,45,27.4193726,
05-03-2024 01:30,0.7692337,0,3.07765,0,0.961720943,49,48,48,51,55,1701.94263,1101.257,1501.71411,1501.71411,5.837981,1.41406226,1.08312047,0,8.33516373,100.114273,54.4620476,8.549904,7.148926,45,27.4193726,
05-03-2024 01:30,0,0,6.227106,0,1.556772,49,48,50,51,56,2102.39917,2202.51343,1601.828,1701.94226,6.117404,1.50526392,1.16774321,0,8.79041113,100.11425,54.53164,8.560829,7.13800049,46,27.41941,
05-03-2024 01:30,0,0,5.384612,0,1.346153,51,49,52,51,57,3003.429,2102.40039,1601.82874,1802.05737,5.8566947,1.40139139,1.10496867,0,8.36305476,100.114296,54.53548,8.561432,7.137398,46,27.41941,
05-03-2024 01:30,0.78125,0,4.6875,0,1.3671875,50,49,50,52,57,1601.828,1501.71375,2202.51343,1501.71375,6.068334,1.47174489,1.12586069,0,8.66593958,100.11425,54.53939,8.562046,7.1367836,46,27.41941,
05-03-2024 01:30,0,0,1.53846145,0,0.384616852,51,49,51,52,58,1501.71436,1501.71436,1501.71436,1701.94287,6.047888,1.40050256,1.14763737,0,8.59602793,100.114288,54.6043663,8.572247,7.126583,47,27.4194641,
05-03-2024 01:31,0,0,7.03125,0,1.7578125,52,50,52,53,57,1802.05737,1902.17163,1401.60022,1301.48584,6.018797,1.44008625,1.09747577,0,8.55635902,100.114296,54.6048279,8.572319,7.12651062,47,27.4194641,
